url_address,url_host,url_path,rank_url_host,rank_country_url,url_host_len,url_len,url_asn_no,avg_url_token_len,url_token_count,url_token_max,avg_url_host_len,url_host_count,url_host_max,avg_url_path_len,url_path_count,url_path_max,url_safe_browsing,url_dots,url_security_words_count,ipaddress_existence
http://google.com,google.com,,1,1,10,17,15169,4.333333333333333,3,6,4.5,2,6,0,0,0,-1,1,0,0
http://facebook.com,facebook.com,,4,5,12,19,-1,5.0,3,8,5.5,2,8,0,0,0,-1,1,0,0
http://youtube.com,youtube.com,,2,2,11,18,15169,4.666666666666667,3,7,5.0,2,7,0,0,0,-1,1,0,0
http://yahoo.com,yahoo.com,,9,4,9,16,14778,4.0,3,5,4.0,2,5,0,0,0,-1,1,0,0
http://baidu.com,baidu.com,,3,1,9,16,-1,4.0,3,5,4.0,2,5,0,0,0,-1,1,0,0
http://wikipedia.org,wikipedia.org,,8,7,13,20,-1,5.333333333333333,3,9,6.0,2,9,0,0,0,-1,1,0,0
http://qq.com,qq.com,,7,3,6,13,4812,3.0,3,4,2.5,2,3,0,0,0,-1,1,0,0
http://linkedin.com,linkedin.com,,16,6,12,19,-1,5.0,3,8,5.5,2,8,0,0,0,-1,1,0,0
http://live.com,live.com,,18,16,8,15,8075,3.6666666666666665,3,4,3.5,2,4,0,0,0,-1,1,0,0
http://twitter.com,twitter.com,,13,9,11,18,-1,4.666666666666667,3,7,5.0,2,7,0,0,0,-1,1,0,0
http://amazon.com,amazon.com,,14,3,10,17,-1,4.333333333333333,3,6,4.5,2,6,0,0,0,-1,1,0,0
http://taobao.com,taobao.com,,20,10,10,17,-1,4.333333333333333,3,6,4.5,2,6,0,0,0,-1,1,0,0
http://blogspot.com,blogspot.com,,522446,28347,12,19,15169,5.0,3,8,5.5,2,8,0,0,0,-1,1,0,0
http://google.co.in,google.co.in,,80,8,12,19,15169,3.5,4,6,3.3333333333333335,3,6,0,0,0,-1,2,0,0
http://wordpress.com,wordpress.com,,88,118,13,20,2635,5.333333333333333,3,9,6.0,2,9,0,0,0,-1,1,0,0
http://sina.com.cn,sina.com.cn,,23,13,11,18,55355,3.25,4,4,3.0,3,4,0,0,0,-1,2,0,0
http://yandex.ru,yandex.ru,,22,3,9,16,13238,4.0,3,6,4.0,2,6,0,0,0,-1,1,0,0
http://yahoo.co.jp,yahoo.co.jp,,45,3,11,18,24572,3.25,4,5,3.0,3,5,0,0,0,-1,2,0,0
http://bing.com,bing.com,,6,6,8,15,-1,3.6666666666666665,3,4,3.5,2,4,0,0,0,-1,1,0,0
http://hao123.com,hao123.com,,48,21,10,17,-1,4.333333333333333,3,6,4.5,2,6,0,0,0,-1,1,0,0
http://google.de,google.de,,220,6,9,16,15169,4.0,3,6,4.0,2,6,0,0,0,-1,1,0,0
http://vk.com,vk.com,,24,4,6,13,47541,3.0,3,4,2.5,2,3,0,0,0,-1,1,0,0
http://ebay.com,ebay.com,,54,10,8,15,25653,3.6666666666666665,3,4,3.5,2,4,0,0,0,-1,1,0,0
http://163.com,163.com,,19,9,7,14,45062,3.3333333333333335,3,4,3.0,2,3,0,0,0,-1,1,0,0
http://googleusercontent.com,googleusercontent.com,,-1,-1,21,28,-1,8.0,3,17,10.0,2,17,0,0,0,-1,1,0,0
http://google.co.uk,google.co.uk,,191,9,12,19,15169,3.5,4,6,3.3333333333333335,3,6,0,0,0,-1,2,0,0
http://tumblr.com,tumblr.com,,126,70,10,17,-1,4.333333333333333,3,6,4.5,2,6,0,0,0,-1,1,0,0
http://pinterest.com,pinterest.com,,53,34,13,20,-1,5.333333333333333,3,9,6.0,2,9,0,0,0,-1,1,0,0
http://google.fr,google.fr,,225,6,9,16,15169,4.0,3,6,4.0,2,6,0,0,0,-1,1,0,0
http://apple.com,apple.com,,39,28,9,16,714,4.0,3,5,4.0,2,5,0,0,0,-1,1,0,0
